State,Year,Average Unemployment Rate (%)
Alabama,1976,6.7
Alabama,1977,7.1499999999999995
Alabama,1978,6.408333333333334
Alabama,1979,7.2250000000000005
Alabama,1980,8.816666666666666
Alabama,1981,10.691666666666668
Alabama,1982,13.950000000000001
Alabama,1983,13.816666666666668
Alabama,1984,11.283333333333333
Alabama,1985,9.541666666666666
Alabama,1986,9.566666666666666
Alabama,1987,8.183333333333334
Alabama,1988,7.2749999999999995
Alabama,1989,7.0
Alabama,1990,6.825
Alabama,1991,7.325
Alabama,1992,7.5249999999999995
Alabama,1993,7.241666666666667
Alabama,1994,6.175
Alabama,1995,5.833333333333333
Alabama,1996,5.208333333333333
Alabama,1997,4.933333333333333
Alabama,1998,4.458333333333333
Alabama,1999,4.7250000000000005
Alabama,2000,4.625
Alabama,2001,5.183333333333334
Alabama,2002,5.925000000000001
Alabama,2003,5.983333333333333
Alabama,2004,5.575
Alabama,2005,4.458333333333333
Alabama,2006,4.0
Alabama,2007,4.041666666666667
Alabama,2008,5.883333333333333
Alabama,2009,10.083333333333334
Alabama,2010,10.375
Alabama,2011,9.583333333333334
Alabama,2012,8.158333333333333
Alabama,2013,7.325
Alabama,2014,6.733333333333333
Alabama,2015,6.125
Alabama,2016,5.908333333333334
Alabama,2017,4.508333333333334
Alabama,2018,3.9416666666666664
Alabama,2019,3.1833333333333336
Alabama,2020,6.425
Alabama,2021,3.3666666666666667
Alabama,2022,2.575
Alaska,1976,7.566666666666666
Alaska,1977,9.891666666666667
Alaska,1978,10.633333333333333
Alaska,1979,9.058333333333334
Alaska,1980,9.533333333333333
Alaska,1981,9.183333333333334
Alaska,1982,10.058333333333334
Alaska,1983,10.1
Alaska,1984,9.891666666666667
Alaska,1985,9.841666666666667
Alaska,1986,11.1
Alaska,1987,10.141666666666667
Alaska,1988,8.733333333333333
Alaska,1989,7.1000000000000005
Alaska,1990,7.258333333333333
Alaska,1991,8.341666666666667
Alaska,1992,8.858333333333333
Alaska,1993,7.8
Alaska,1994,7.616666666666667
Alaska,1995,7.325
Alaska,1996,7.425
Alaska,1997,6.933333333333334
Alaska,1998,6.325
Alaska,1999,6.408333333333334
Alaska,2000,6.316666666666666
Alaska,2001,6.283333333333334
Alaska,2002,7.166666666666667
Alaska,2003,7.683333333333334
Alaska,2004,7.416666666666667
Alaska,2005,6.933333333333334
Alaska,2006,6.633333333333333
Alaska,2007,6.258333333333333
Alaska,2008,6.4750000000000005
Alaska,2009,7.983333333333333
Alaska,2010,8.133333333333333
Alaska,2011,7.733333333333333
Alaska,2012,7.25
Alaska,2013,6.991666666666667
Alaska,2014,6.741666666666667
Alaska,2015,6.2749999999999995
Alaska,2016,6.6000000000000005
Alaska,2017,6.508333333333333
Alaska,2018,6.041666666666667
Alaska,2019,5.591666666666666
Alaska,2020,8.308333333333334
Alaska,2021,6.433333333333334
Alaska,2022,4.0249999999999995
Arizona,1976,9.758333333333333
Arizona,1977,8.4
Arizona,1978,5.95
Arizona,1979,5.075
Arizona,1980,6.608333333333333
Arizona,1981,6.191666666666666
Arizona,1982,9.958333333333334
Arizona,1983,9.108333333333333
Arizona,1984,4.958333333333333
Arizona,1985,6.358333333333333
Arizona,1986,7.05
Arizona,1987,6.508333333333333
Arizona,1988,6.408333333333334
Arizona,1989,5.241666666666666
Arizona,1990,5.216666666666667
Arizona,1991,5.858333333333333
Arizona,1992,7.566666666666666
Arizona,1993,6.366666666666667
Arizona,1994,6.191666666666666
Arizona,1995,5.3
Arizona,1996,5.491666666666667
Arizona,1997,4.625
Arizona,1998,4.2749999999999995
Arizona,1999,4.458333333333333
Arizona,2000,3.983333333333333
Arizona,2001,4.7250000000000005
Arizona,2002,6.141666666666667
Arizona,2003,5.783333333333334
Arizona,2004,4.966666666666667
Arizona,2005,4.666666666666667
Arizona,2006,4.308333333333334
Arizona,2007,3.75
Arizona,2008,5.791666666666667
Arizona,2009,9.666666666666666
Arizona,2010,10.299999999999999
Arizona,2011,9.433333333333334
Arizona,2012,8.35
Arizona,2013,7.816666666666666
Arizona,2014,6.791666666666667
Arizona,2015,6.075
Arizona,2016,5.483333333333333
Arizona,2017,4.9750000000000005
Arizona,2018,4.808333333333334
Arizona,2019,4.808333333333334
Arizona,2020,7.841666666666666
Arizona,2021,5.075
Arizona,2022,3.8249999999999997
Arkansas,1976,6.916666666666667
Arkansas,1977,6.4750000000000005
Arkansas,1978,6.2250000000000005
Arkansas,1979,6.283333333333334
Arkansas,1980,7.533333333333334
Arkansas,1981,8.6
Arkansas,1982,9.466666666666667
Arkansas,1983,9.700000000000001
Arkansas,1984,8.533333333333333
Arkansas,1985,8.491666666666667
Arkansas,1986,8.541666666666666
Arkansas,1987,8.141666666666667
Arkansas,1988,7.7
Arkansas,1989,7.041666666666667
Arkansas,1990,6.875
Arkansas,1991,7.308333333333334
Arkansas,1992,7.0
Arkansas,1993,6.133333333333333
Arkansas,1994,5.441666666666666
Arkansas,1995,4.866666666666666
Arkansas,1996,5.166666666666667
Arkansas,1997,5.108333333333333
Arkansas,1998,5.05
Arkansas,1999,4.533333333333333
Arkansas,2000,4.175
Arkansas,2001,4.758333333333334
Arkansas,2002,5.333333333333333
Arkansas,2003,5.758333333333333
Arkansas,2004,5.583333333333333
Arkansas,2005,5.258333333333334
Arkansas,2006,5.25
Arkansas,2007,5.391666666666667
Arkansas,2008,5.441666666666666
Arkansas,2009,7.7250000000000005
Arkansas,2010,7.858333333333333
Arkansas,2011,7.908333333333334
Arkansas,2012,7.266666666666667
Arkansas,2013,7.041666666666667
Arkansas,2014,5.8999999999999995
Arkansas,2015,4.95
Arkansas,2016,3.983333333333333
Arkansas,2017,3.7416666666666667
Arkansas,2018,3.658333333333333
Arkansas,2019,3.4916666666666667
Arkansas,2020,6.2
Arkansas,2021,4.075
Arkansas,2022,3.3000000000000003
California,1976,9.15
California,1977,8.391666666666667
California,1978,7.133333333333333
California,1979,6.216666666666666
California,1980,6.8999999999999995
California,1981,7.433333333333334
California,1982,10.058333333333334
California,1983,9.825000000000001
California,1984,7.758333333333333
California,1985,7.183333333333334
California,1986,6.766666666666667
California,1987,5.825
California,1988,5.2749999999999995
California,1989,5.091666666666667
California,1990,5.791666666666667
California,1991,7.825
California,1992,9.35
California,1993,9.533333333333333
California,1994,8.65
California,1995,7.891666666666667
California,1996,7.3500000000000005
California,1997,6.408333333333334
California,1998,5.933333333333334
California,1999,5.266666666666667
California,2000,4.925
California,2001,5.466666666666666
California,2002,6.758333333333333
California,2003,6.891666666666667
California,2004,6.216666666666666
California,2005,5.383333333333333
California,2006,4.916666666666667
California,2007,5.308333333333334
California,2008,7.3
California,2009,11.541666666666666
California,2010,12.458333333333334
California,2011,11.891666666666666
California,2012,10.525
California,2013,9.033333333333333
California,2014,7.566666666666666
California,2015,6.2250000000000005
California,2016,5.516666666666667
California,2017,4.833333333333333
California,2018,4.258333333333334
California,2019,4.1000000000000005
California,2020,10.200000000000001
California,2021,7.325
California,2022,4.183333333333334
Colorado,1976,5.916666666666667
Colorado,1977,6.3500000000000005
Colorado,1978,5.558333333333334
Colorado,1979,4.616666666666666
Colorado,1980,5.883333333333333
Colorado,1981,5.641666666666667
Colorado,1982,7.608333333333333
Colorado,1983,7.116666666666667
Colorado,1984,5.491666666666667
Colorado,1985,5.983333333333333
Colorado,1986,7.516666666666667
Colorado,1987,7.541666666666667
Colorado,1988,6.416666666666667
Colorado,1989,5.583333333333333
Colorado,1990,5.133333333333333
Colorado,1991,5.283333333333333
Colorado,1992,6.091666666666666
Colorado,1993,5.383333333333333
